code_type,code_samples,target
fixed_code,"my_list = [1,2,3]
if len(my_list) > 5:
    print('List is long enough')
else:
    print('Index out of bounds')",0
faulty_code,print(x),1
fixed_code,your fixed code here,0
fixed_code,"['for i in range(len(lst)):\n    print(i)', ""with open('file.txt', 'r)"", ""if x == 'A'""]",0
faulty_code,"for i in range(5):
    if i == 4:
        break",1
fixed_code,"s = [1,2,3]",0
faulty_code,"with open('file.txt', 'rb') as f:
    f.seek(0)
    data = f.read()
    print(data)",1
fixed_code,"for i in range(10):
    print(i*2)",0
fixed_code,"max = max([5,2,9][::-1])",0
fixed_code,"def find_element(lst, target):
    try:
        for i in range(len(lst))
            if lst[i] == target
                return lst[i]
        return None
    except IndexError:
        return None",0
fixed_code,"try:
    f = open('nonexistentfile.txt', 'r')
except FileNotFoundError as e:
    print(f'File not found: {e}')
finally:
    f.close()",0
faulty_code,"a = [1,2,3]; b = a[::3]; print(b)",1
fixed_code,"for i in range(len(numbers)):
    if numbers[i]%2==0:
        result.append(numbers[i])",0
faulty_code,"try:
    file = open('nonexistent.txt', 'r')
except FileNotFoundError:
    print('File not found')
else:
    print('File was found')",1
faulty_code,"for i in range(5):
    print(i)

print('Loop did not terminate')",1
faulty_code,"for i in range(5):
    print(i+1)
print('Loop completed')",1
faulty_code,"for i in range(10)
print(i)",1
fixed_code,"students = ('Alice', 'Bob');
print(students[-1])",0
faulty_code,"with open('nonexistent.txt', 'r') as f:
    print(f.read())",1
faulty_code,"for i in range(5)

    print(i)",1
faulty_code,"for i in range(len(list)):
    print(list[i-1])",1
fixed_code,"numbers = [1, 2, 3]
numbers_copy = numbers.copy()
print('Numbers:', numbers_copy)",0
faulty_code,"a = [1,2,3]
b = a[0:2]
c = b[::-1]
d = c[1:]",1
faulty_code,"for i in range(len(numbers)-1):
    print(numbers[i])",1
fixed_code,"print(f""{name}, {age}"")
",0
faulty_code,"for i in range(len(nums)):
    if nums[i] > 5:
        print('Found a number greater than 5')",1
fixed_code,"try:
    x = int(input('Enter a number: '))
except ValueError as e:
    print(f'Invalid input: {e}')
except KeyboardInterrupt:
    print('Operation cancelled')",0
fixed_code,"my_list = [1,2,3]

for i in range(len(my_list)):
    print(my_list[i])",0
fixed_code,"print('Hello, world!', end='
')
",0
fixed_code,"my_list = [5,4,3,2,1]
try:
    print(my_list[-6])
except IndexError:
    print('Index out of range')",0
fixed_code,"lst = [1,2,3,4,5]; print(lst[-1] or lst[len(lst)-1])",0
fixed_code,"for i in range(10):
    print(i*2)
",0
faulty_code,"def greet():
    print('Hello, world!')",1
faulty_code,"for i in range(len(list)-1):
    print(list[i], list[i+1])",1
fixed_code,"a = (1,2,3)
b = (4,5,6)
(a[0], b[0])",0
fixed_code,"for i in range(5):
    pass",0
faulty_code,"if x and y or z:
    print('Yes')
else:
    print('No')",1
faulty_code,"while True:
    print('Waiting...')",1
faulty_code,"try:
    print(1/0)
except ZeroDivisionError:
    print('Denominator is zero')",1
fixed_code,"try:
    file = open('nonexistent.txt', 'r')
except IOError as e:
    print(f""Error opening file: {e}"")",0
fixed_code,"count = 0
while count < 10:
    print(f'Iteration {count}')
    count += 1",0
faulty_code,print('Hello' + 'World'),1
fixed_code,"try:
    a = int(input('Enter a number: '))
except ValueError as e:
    print(f'Invalid input: {e}')
except Exception as e:
    print(f'An unexpected error occurred: {e}')",0
faulty_code,"numbers = [1,2,3]
avg = sum(numbers)/len(numbers)
if avg > 0:
    print('Average is positive')
else:
    print('Average is zero or negative')",1
fixed_code,"my_list = [1,2,3]
new_list = [x for x in my_list]",0
fixed_code,"strng = 'Hello'
print(strng + '\' + '\n')",0
faulty_code,"for i in range(1, 5):
    print(i)

print('Missing value')",1
faulty_code,"old_list = [1, 2, 3]
new_list = old_list.append(4)",1
faulty_code,"for i in range(5):
    print(i+1)

# This loop runs from 0 to 4 (inclusive), so it should print 1 to 5. The faulty code prints 1 to 6.",1
faulty_code,"a = [1,2,3]
b = a",1
faulty_code,"for i in range(5):
    print(i)

# Medium example:
file = open('nonexistent.txt', 'r')",1
faulty_code,"my_list = [1,2,3]
print(my_list[-4])",1
faulty_code,"for i in range(10):
    print(i+1)

# This loop is off-by-one; it should be i <=10
",1
faulty_code,"['for i in range(3): print(i)', 'x = [1,2,3]\nprint(sum(x))', ""if x > 0:\n    print('Positive')\nelse:\n    print('Negative')""]",1
faulty_code,"a = [1,2,3]
b = [4,5,6]
sum_a = sum(a)
avg = sum_a / b",1
faulty_code,"my_list = [1,2,3]
print(my_list - [2])",1
fixed_code,"a = [1,2,3]
b = a.copy()
b.append(4)",0
fixed_code,"x = [1,2,3]
x[0] += 1",0
fixed_code,"for i in range(5):
    print(i+1
    )
print('Loop completed')",0
faulty_code,"data = [{'name': 'Alice', 'age': 15}, {'name': 'Bob', 'age': 20}]
result = [item['name'] for item in data if (item['age'] > 18 and item['age'] % 2 == 0)]
print(result)",1
faulty_code,"s = [1,2,3]
s.append(4)
print(s)",1
faulty_code,"def my_function():
    for i in range(5):
        print(i)
    print(""Loop ended"")",1
fixed_code,"for x in range(5):
    print(x)

print('Missing colon')
",0
faulty_code,s = 'hello'; print(s[2:]),1
fixed_code,"for i in range(10)<br/>
    print(i)",0
fixed_code,"x = [1,2,3]
sum(x[:2])",0
faulty_code,"[""print('Hello, world!')"", 'for i in range(10): print(i)', ""import re; re.findall(r'pattern', 'string')""]",1
fixed_code,"def calculate_average(numbers):
    total = 0
    for i in range(len(numbers)):
        if i == len(numbers) - 1:
            continue
        total += numbers[i]
    return total / (len(numbers) - 1)
",0
faulty_code,"lst = [1,2,3,4,5]; print(lst[9])",1
faulty_code,"for i in range(10):
    print(i+1)

# This code has an off-by-one error in the loop range.",1
fixed_code,"for i in range(4):
    print(i)

print('Fourth element is missing')",0
faulty_code,"lst = [1,2,3]; del lst[0]; print(lst[2])",1
faulty_code,"for i in range(∞):
    print(i)",1
fixed_code,"for i in range(5):
    print(x)",0
faulty_code,"nums = [1,2,3]
largest = max(nums[0], nums[1], nums[2])",1
fixed_code,"def factorial(n):
    if n <= 1:
        return 1
    else:
        return n * factorial(n - 1)",0
fixed_code,"s = input().strip()
print(s.split(' '))",0
faulty_code,"for i in range(len(list)-2):
    print(i)",1
faulty_code,"for i in range(5):
    print(i+1)
print('Next item')",1
faulty_code,"try:
    open('nonexistentfile.txt', 'r')
except IOError:
    print('File not found')",1
fixed_code,"with open('file.txt', 'r') as f:
    while f.seek(0) < len(f) -1:
        print(f.readline())",0
faulty_code,"def my_func(x, y=5):
    return x + y
my_func('a', 'b')",1
fixed_code,"a = 5
b = a + 3
b = a",0
fixed_code,"for i in range(10):
    print(i+1)
print('Loop ended after 10 iterations')",0
fixed_code,"def factorial(n):
    if n < 0:
        raise ValueError('Factorial not defined for negative numbers')
    elif n == 0:
        return 1
    else:
        result = 1
        for i in range(1, n + 1):
            result *= i
        return result
print(factorial(5))",0
fixed_code,"for i in range(6):
    print(i)
print(6)",0
faulty_code,print('Hello' 'World'),1
fixed_code,"try:
    with open('nonexistentfile.txt', 'r') as f:
        pass
except FileNotFoundError
    print('File not found')
",0
fixed_code,"with open('file.txt', 'r') as f:
    f.seek(0)
    line = f.readline()
    print(line)",0
fixed_code,"try:
    print(1/0)
except ZeroDivisionError as e:
    print(f'Handled: {e}')
",0
faulty_code,"lst = [1,2,3];
fixed_code = lst[:-1]",1
faulty_code,"[""lst = ['a', 'b']; print(lst.pop())"", 'nums = [x for x in range(10) if (x > 5 and y)]', 'import threading; def even(): ...; def odd(): ...; t1 = threading.Thread(target=even); t2 = threading.Thread(target=odd); t1.start(); t2.start()']",1
fixed_code,"['for i in range(len(s)-1)', ""s = 'test' if s is None else s"", 'sum((x,) for x in ())']",0
faulty_code,def outer(x): y = 10; def inner(): return x + y; return inner,1
faulty_code,"['my_list = [x for x in range(5) if x%2]', ""my_string = 'Hello' + %str('world')"", 'for i in range(5): print(i)']",1
fixed_code,"x = [1,2,3]
y = x + [4]",0
faulty_code,"my_list = [1,2]
my_list[10].append(3)",1
faulty_code,"result = []
for i in range(len(arr)):
    result.append(arr[i])
print(result[-1])",1
fixed_code,"my_list = [1,2,3]; print(my_list[3])",0
faulty_code,"def greet(name):
    print('Hello, ' + name + '!')

# This code has a logic error.",1
faulty_code,"try:
    print('File not found')
except FileNotFoundError:
    print('File not found')",1
faulty_code,"for i in range(5):
    print(i)

# This loop will run for i = 0 to 4 inclusive. However, if the list has only 3 elements, accessing index 4 will cause an error.",1
fixed_code,"for i, item in enumerate(range(10)):
    if i == 5:
        break
    print(item)

# or using zip:
for i, item in zip(range(10), None):
    if i == 5:
        break
    print(item)",0
faulty_code,"for i in range(5):
    print(i)

# Comment
print(i+1)",1
fixed_code,"for i in range(5):
    print(i)

print('Loop completed')
",0
faulty_code,"for i in range(len(list)):
    if list[i] == 'a':
        del list[i]
        break",1
faulty_code,"for i in range(len(lst)):
    if lst[i-1] > lst[i]:
        swap = lst[i]
        lst[i] = lst[i-1]
        lst[i-1] = swap",1
faulty_code,"for i in range(10):
    if i == 5:
        break
else:
    print('Loop completed')",1
fixed_code,"a = [1,2,3]
b = [4,5,6]
result = a + b",0
fixed_code,"for i in range(10,20,1):
    print(i)",0
fixed_code,"['for i in range(1,5):', '    print(i)', ""print('The sum is', sum(range(1,5)))""]",0
fixed_code,"for i in range(3,7):
    print(i)",0
fixed_code,"def greet():
    print('Hello')
    return",0
faulty_code,"a = [1,2,3]
a[4]",1
faulty_code,"for i in range(10)
    print(i+1)

# This loop is off by one; it should go up to 9 inclusive.",1
fixed_code,"for i in range(10):
    print(i+1)
    if i == 5:
        break",0
faulty_code,"for i in range(5):
    print(i)

print('Loop completed')",1
fixed_code,"[""print('Hello, world!')"", '# Incrementing a variable incorrectly\n# Example: i = 5\ni += 2', '\nmedium length fixed example:\nfor i in range(0, len(list)):\n    list.append(i + 2)', ""\nlonger fixed example with correct string formatting:\nprint('The value is {0}', 10).format(10)""]",0
fixed_code,"with open('file.txt', 'r') as f:
    f.seek(0)
    data = f.read()
    print(data)",0
faulty_code,"for i in range(10): print(i+1)

# This code skips the number 10 because of an off-by-one error.",1
fixed_code,"for i, item in enumerate(lst): print(i)",0
faulty_code,"my_list = [1,2,3]
my_list.extend([4,5,6])",1
fixed_code,second fixed code,0
fixed_code,"for i in range(5):
    print(i)
print('Loop ended at:', i)",0
fixed_code,"try:
    with open('nonexistentfile.txt', 'r') as f:
        pass
except FileNotFoundError
",0
faulty_code,"x = [1,2,3]
x.append(4)
print(x)",1
faulty_code,"s = [1,2]; print(s[3])",1
fixed_code,"for i in range(len(prices)-1):
    if prices[i+1] > 0:
        print(prices[i+1])",0
fixed_code,reversed_numbers = numbers[::-1],0
faulty_code,"try:
    open('data.txt')
except FileNotFoundError:
    print('File not found')",1
faulty_code,sum([i for i in range(5) if i <4]),1
fixed_code,"a = [1,2,3]
b = a[:2]
print(b[2:])",0
fixed_code,"lst = [1,2,3]
print(lst[-1])",0
fixed_code,"my_list = [1, 2, 3]
print(my_list)",0
fixed_code,"for i in range(len(arr)):
    if arr[i] == 'a' and i < len(arr):
        break",0
faulty_code,"for i in range(10):
    print(i+1)

# This loop goes from 0 to 9 inclusive, but prints up to 10. The bug is an off-by-one error.",1
faulty_code,"print('Hello, world!')

# This is a comment
print('Hello again!')",1
faulty_code,"try:
    f = open('nonexistentfile.txt', 'r')
except FileNotFoundError:
    print('File not found')
finally:
    f.close()",1
faulty_code,"for i in range(len(list) + 1):
    print(list[i])",1
faulty_code,"i = 0
while i < 10:
    print(i)
i++",1
faulty_code,"my_list = [1, 2, 3]
index = len(my_list)-1",1
fixed_code,"for i in range(len(lst)):
    if i < len(lst)-1:
        print(lst[i])

# This code avoids printing the last element by checking the condition inside the loop",0
fixed_code,"def my_function():
    for i in range(5):
        print(i)",0
faulty_code,for i in range(4):,1
faulty_code,"numbers = [1,2,3]
numbers.sort(reverse=True)
print(numbers[0])",1
fixed_code,"import math
math.sqrt(4)",0
faulty_code,"a = 5
print(a + b)",1
faulty_code,"for i in range(len(arr)+1):
    print(arr[i])",1
faulty_code,"d = {'a':1,'a':2}
print(d['a'])",1
faulty_code,"a = [1,2,3]
b = a[0:2]
print(b[-1:])",1
faulty_code,"for i in range(5):
    print(i+1)

# This code will cause an IndexError because the list only has 4 elements.",1
fixed_code,"def calculate_average(numbers):
    if not numbers or all(n == 0 for n in numbers):
        return None
    return sum(numbers)/len(numbers)",0
fixed_code,"for i in range(1):
    print('Loop executed')

# Now the loop runs once",0
fixed_code,"def calculate_total(prices):
    total = 0
    for p in prices:
        total += p
return total",0
faulty_code,for i in range(5): print(i),1
fixed_code,"import os
try:
    os.remove('nonexistentfile.txt')
except FileNotFoundError:
    print('File not found.')

# OR 

os.remove('nonexistentfile.txt')",0
faulty_code,"s = 'Hello'
print(s[2:5])",1
faulty_code,"a = [1,2,3]
b = a[3]",1
faulty_code,"for i in range(10):
    print(i)

print('Next item')",1
faulty_code,"a = [1,2,3]
b = a[0] + a[1] + a[2]",1
fixed_code,"for i in range(len(arr)-1):
    print(arr[i+1])",0
fixed_code,"print('Hello, world!')
",0
faulty_code,"import os

def process_file(file_path):
    try:
        with open(file_path, 'r') as f:
            content = f.read()
            print(content)
    except FileNotFoundError:
        print(""File not found."")",1
faulty_code,"def divide_numbers(a, b):
    return a / b

divide_numbers(10, 0)",1
fixed_code,"try:     with open('nonexistentfile.txt', 'rb') as f:         data = f.read() except FileNotFoundError:     print('File not found')",0
faulty_code,"try:
    f = open('nonexistent.txt', 'r')
except FileNotFoundError:
    pass
with open('nonexistent.txt', 'a') as file:
    file.write('data')",1
faulty_code,"def sort_list(data):
    sorted_data = []
    for i in range(len(data)):
        if data[i] < data[i+1]:
            sorted_data.append(data[i])
            break
    return sorted_data",1
faulty_code,"for i in range(len(list)):
    if list[i] == 'a':
        break
else:
    print('Loop completed normally')",1
fixed_code,"a = [1,2,3]; b = a[0]; c = [b,]",0
fixed_code,sum([i for i in range(5)]),0
fixed_code,"for i in reversed(range(len(list)))):
    list.pop(i)",0
faulty_code,"import numpy as np

a = np.array([[1,2,3],[4,5,6]])
horizontal_edges = a[1:] - a[:-1]
vertical_edges = a[:,1:] - a[:,:-1]",1
faulty_code,"for i in range(10): print(i+1)

# Short version with off-by-one error
for i in range(9,2,-1): print(i)",1
fixed_code,"try:
    try:
        with open('nonexistentfile.txt', 'r') as f:
            pass
    except FileNotFoundError:
        print('File not found')
except Exception as e:
    print(f'Error: {e}')",0
faulty_code,"numbers = [1,2,3]
new_numbers = [x for x in numbers if x%2 == 0] * 3
print(new_numbers)",1
fixed_code,"for i in range(len(primes)):
    primes[i] += 1
    print(primes)",0
faulty_code,"with open('data.txt', 'r') as f:
    for line in f:
        print(line.strip())",1
fixed_code,s = 'abcdefghijklmnopqrstuvwxyz'; print(s[:3]),0
fixed_code,"for i in range(1, 11):
    print(i)",0
faulty_code,"a = [1,2,3]
b = a[0:2]
print(b[2:])",1
faulty_code,"for i in range(len(list)):
    if list[i] == target:
        return i
else:
    return -1",1
faulty_code,"for i in range(5):
    print(i+1)
print(i+2)",1
faulty_code,"for i in range(5):
    print(i+1)
# this loop should run from 0 to 4 but prints 1 to 5",1
fixed_code,"if x > 5:
    print('x is greater than 5:')
",0
faulty_code,for i in range(len(list)+1): print(i),1
faulty_code,"my_list = [1,2]
my_list.add(3)",1
fixed_code,"def my_func():
    x = 42
x = 100
print(x)",0
faulty_code,"for i in range(5):
    print(i)

print('The loop ran one extra time')",1
faulty_code,"def greet(name):
    print('Hello, ' + name + '!')
    return",1
fixed_code,"def divide_numbers(a, b):
    if b == 0:
        return float('inf')
    else:
        return a / b

divide_numbers(10, 0)",0
faulty_code,"for i in range(5):
    if i == 4:
        print(i)",1
fixed_code,"my_list = ['a', 'b', 'c']
    print(my_list[1])",0
fixed_code,"for i in range(len(list)-1):
    list[i] = list[i+1]
    list[0] = list.pop(i)

list.insert(987654, 'element)",0
faulty_code,"lst = []
try:
    print(lst[0])
except IndexError:
    pass",1
fixed_code,"try:
    with open('nonexistentfile.txt') as f:
        pass
except FileNotFoundError as e:
    print(f'Error: {e}')
finally:
    pass",0
faulty_code,"for i in range(1,5): print(i)",1
faulty_code,"try:
    open('nonexistentfile.txt', 'r')
except FileNotFoundError:
    print('Failed to open file')",1
fixed_code,"if (x < y):
    print('x is less than y')",0
faulty_code,"with open('data/file.txt', 'rb') as f:
    f.write('New content')",1
fixed_code,"def outer_func(x, z):
    def inner_func(y):
        print(z)

outer_func(5, 'test)",0
fixed_code,"s = input().strip()
if not s:
    print('Enter a valid string')
else:
    print(s[0].upper())",0
faulty_code,"import sys
print('Hello, world!')",1
faulty_code,"while x < y:\n    if condition:
        do_something()",1
fixed_code,"for i in range(5):
    print(i)

print('Missing last element')

# Add the last element to complete the loop",0
fixed_code,"my_list = [i for i in range(4)]

my_list.append(5)",0
faulty_code,"a = [1,2,3]
b.append(4)
print(a)",1
fixed_code,"try:
    with open('nonexistent.txt', 'w') as file:
        file.write('Initial file created!')
except FileNotFoundError:
    with open('nonexistent.txt', 'w') as file:
        file.write('File not found. Creating now.')
with open('nonexistent.txt', 'a') as file:
    file.write('Data appended: data')",0
faulty_code,"for i in range(len(lst)):
    print(i+1)",1
fixed_code,"a = [1,2,3]
b = a.pop() or None
if 2 in a:
    a.remove(2)
",0
faulty_code,"for i in range(5):
   print(i+1)",1
fixed_code,"s = 'Hello'
print(s[:4])",0
faulty_code,"def greet(name):
    return 'Hello, ' + name * 2

# Bug: Incorrect string multiplication usage
return greet('Alice')",1
faulty_code,"numbers = [1,2,3]
sum = sum(numbers[0:5])",1
faulty_code,"my_list = [1,2,3]
for item in list:
    print(item)",1
faulty_code,"import socket
s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
s.bind(('localhost', 8000))
s.listen(1)
print('Server is listening on port 8000')",1
fixed_code,"for i in range(len(arr)-1):
    arr[i], arr[i+1] = arr[i+1], arr[i]
arr.pop() if arr else None",0
fixed_code,s = 'hello'; print(s[:6]),0
faulty_code,"while True:
    print('Hello')",1
fixed_code,"for i in range(10):
    print(i)

print('Ten items')
",0
fixed_code,"def greet(name):
    if not name:
        return 'Hello'
    return f""Hello, {name}!""",0
faulty_code,"import socket

s = socket.socket()
print(s)
s.close()",1
faulty_code,"my_list = [1,2,3]
my_list[-1] # This will raise an error as the list is empty",1
faulty_code,"for i in range(10):
    print(i**2)

try:
    print(some_var / 0)
except:
    print('Division by zero')",1
fixed_code,"s = 'Hello, world!'; print(s[len(s)-1])",0
faulty_code,"for i in range(len(list)+1):
    print(i)",1
fixed_code,"for i in range(len(numbers)-1):
    if numbers[i] > numbers[i+1]:
        numbers[i], numbers[i+1] = numbers[i+1], numbers[i]
",0
faulty_code,"a = [1,2,3]
b = a
print(a[0])",1
faulty_code,"for i in range(5):
    total += i
print(total)",1
fixed_code,"lst = []
try:
    print(lst[0])
except IndexError:
    print('List is empty')
",0
fixed_code,"a = [1,2,3]; b = a[:2]; del a[:2]; print(b)",0
faulty_code,"for i in range(10):
    print(i)
    print(i+1)",1
faulty_code,"for i in range(5):
    print('Hello')
    print('World')",1
fixed_code,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)",0
faulty_code,"for i in range(len(arr)-1):
    arr[i] = arr[i+1]
",1
faulty_code,"for i in range(0):
    print('Loop executed')",1
fixed_code,"for i in range(len(nums)-1):
    print(nums[i+1])",0
fixed_code,"for i in range(5):
    inner_var = outer_var
    print(i, inner_var)

print(outer_var)",0
fixed_code,"['range(5)', ""def greet(n): return f'Hello {n}'"", 'my_list = [x for x in range(10) if x%2 !=0]']",0
fixed_code,"
def greet(name):
    print(f'Hello, {name}!')
# Fixed the string formatting issue using f-strings.",0
faulty_code,"print('Hello, world!') + print('This is an error')",1
faulty_code,"lst = [1, 2, 3]
for i in range(len(lst)):
    print(lst[i+1])",1
faulty_code,"a = [1,2,3]
a.append(4)
print(a)",1
fixed_code,"a = [1, 2, 3]
b = a[2]",0
fixed_code,"print('Hello, world!')

nums = [1,2,3]
sum_nums = sum(nums)
sum_total = sum(nums) + 5",0
faulty_code,"for i in range(1, n):
    print(i)",1
faulty_code,"a = [1,2,3]
b.append(4)
c = len(b)",1
faulty_code,"my_list = [1,2,3]
my_list.append(4",1
fixed_code,"my_list = [1,2,3]
try:
    index = my_list.index(4)
except ValueError:
    print('Index not found')
print(index)",0
fixed_code,"x = 10
def my_func():
    print(x)",0
faulty_code,"my_list = [1,2,3]
index = len(my_list)-1",1
fixed_code,"a = [1,2,3]
b = a[4:5]",0
fixed_code,"x = [1,2]
print(x[1])",0
fixed_code,"try:
    open('nonexistentfile.txt', 'r')
except FileNotFoundError as e:
    print(f'Error: {e}')
except Exception as e:
    print(f'Unexpected error: {e}')",0
fixed_code,"
def multiply(a, b):
    c = [a[i] * b[i] for i in range(len(a))]
    return c",0
faulty_code,"try:
    with open('data.txt', 'r') as f:
        while True:
            line = next(f)
            if line == ''
                break
            print(line.strip())",1
fixed_code,"def greet(name):
    return 'Hello, ' + name + ' twice'

greet('Alice')",0
fixed_code,"for i in range(10, 20)
print(i)",0
fixed_code,"for i in range(5, 10):
    print(i)",0
fixed_code,"for i in range(len(list)-1):
    if i+1 < len(list):
        print(list[i+1]-list[i])",0
faulty_code,"for i in range(10):<br/>
    print(i+1)",1
faulty_code,"for i in range(5):
    print(i)
print(i+1)",1
fixed_code,"import itertools
for i in range(5):
    iterator = itertools.count()
    try:
        val = iterator.next()
    except StopIteration:
        pass",0
fixed_code,"names = ['Alice', 'Bob']
ages = [25, 30]
for i in range(1, len(names)):
    print(f'{names[i]} is {ages[i-1]} years old')",0
fixed_code,"for i in range(10):
    print(i+1)

print('Next item', end='\n')
",0
fixed_code,"a = [1,2,3]; print(a[0])",0
faulty_code,"print(f""Hello {name}"")",1
faulty_code,"try:
    print(1/0)
except ZeroDivisionError as e:
    print('division by zero occurred')",1
faulty_code,for i in range(1000000):,1
faulty_code,"def greet(n):
    for i in range(n+1):
        print(i)",1
fixed_code,"if x > 0:
    print('Positive')
",0
faulty_code,"import os
os.path.exists('test.txt')",1
fixed_code,"try:
    x = int(input('Enter a number: '))
except ValueError as e:
    print(f'Invalid input: {e}')
",0
faulty_code,"while True:
    print('Hello')
",1
fixed_code,"for i in range(25):
    print(i)
",0
faulty_code,"for i in range(10):
    print(i+1)

# Missing base case for recursion",1
faulty_code,"def calculate_average(numbers):
    return sum(numbers)/len(numbers)",1
faulty_code,second faulty code,1
fixed_code,"total = sum
sum = total",0
faulty_code,"s = input().strip()
if s == '':
    print('Enter a valid string')
else:
    print(s[0].upper())",1
